genre_id,movie_id
17,499549
1,499549
7,499549
5,499549
17,449088
1,449088
7,449088
17,2379713
1,2379713
9,2379713
17,1345836
9,1345836
22,5289954
17,401729
1,401729
5,401729
1,398286
8,398286
15,398286
3,398286
7,398286
19,398286
12,398286
17,2395427
1,2395427
5,2395427
1,417741
3,417741
7,417741
20,417741
17,2975590
1,2975590
5,2975590
17,348150
1,348150
5,348150
17,830515
1,830515
17,383574
1,383574
7,383574
17,1210819
1,1210819
23,1210819
17,770828
1,770828
7,770828
5,770828
17,499448
1,499448
3,499448
7,499448
17,1298650
1,1298650
7,1298650
17,1409024
1,1409024
15,1409024
3,1409024
7,1409024
5,1409024
1,2310332
7,2310332
17,948470
1,948470
7,948470
17,955308
1,955308
10,955308
11,955308
1,1170358
7,1170358
1,385752
3,385752
7,385752
10,120338
12,120338
17,3498820
1,3498820
5,3498820
17,1440129
1,1440129
5,1440129
9,1440129
17,369610
1,369610
5,369610
9,369610
17,316654
1,316654
7,316654
12,316654
17,1300854
1,1300854
5,1300854
17,376994
1,376994
7,376994
5,376994
9,376994
1,1453405
8,1453405
15,1453405
3,1453405
7,1453405
17,1055369
1,1055369
5,1055369
17,2109248
1,2109248
5,2109248
17,1872181
1,1872181
7,1872181
5,1872181
1,1216475
8,1216475
15,1216475
3,1216475
26,1216475
17,1133985
1,1133985
5,1133985
1,435761
8,435761
15,435761
3,435761
7,435761
17,438488
1,438488
5,438488
17,2820852
6,2820852
9,2820852
17,816711
1,816711
4,816711
5,816711
9,816711
17,1877832
1,1877832
7,1877832
5,1877832
9,1877832
17,1408101
1,1408101
5,1408101
1,1351685
7,1351685
17,473075
1,473075
7,473075
12,473075
17,1663662
1,1663662
5,1663662
17,1399103
1,1399103
5,1399103
17,367882
1,367882
7,367882
1,1979388
8,1979388
15,1979388
3,1979388
7,1979388
1,1217209
8,1217209
15,1217209
3,1217209
7,1217209
17,2660888
1,2660888
5,2660888
9,2660888
1,910970
8,910970
3,910970
5,910970
17,293564
15,293564
6,293564
9,293564
17,1190080
1,1190080
5,1190080
8,1067106
10,1067106
3,1067106
7,1067106
17,1617661
1,1617661
5,1617661
1,363771
3,363771
7,363771
17,3385516
1,3385516
5,3385516
17,468569
6,468569
10,468569
9,468569
1,1049413
8,1049413
15,1049413
3,1049413
17,892782
1,892782
8,892782
15,892782
3,892782
5,892782
17,371746
1,371746
5,371746
1,970179
10,970179
3,970179
20,970179
17,120891
15,120891
5,120891
23,120891
17,859163
1,859163
7,859163
4,859163
9,859163
17,1386697
1,1386697
15,1386697
5,1386697
15,413099
3,413099
7,413099
17,1631867
1,1631867
5,1631867
17,114898
1,114898
5,114898
9,114898
17,1046173
1,1046173
5,1046173
9,1046173
1,2096673
8,2096673
15,2096673
10,2096673
3,2096673
7,2096673
17,1228705
1,1228705
5,1228705
17,1735898
1,1735898
10,1735898
7,1735898
17,1587310
1,1587310
3,1587310
7,1587310
12,1587310
17,2103281
1,2103281
10,2103281
5,2103281
17,1335975
1,1335975
10,1335975
7,1335975
17,1843866
1,1843866
5,1843866
1,892791
8,892791
15,892791
3,892791
7,892791
17,1964418
1,1964418
3,1964418
20,1964418
5,1964418
17,2245084
1,2245084
8,2245084
15,2245084
10,2245084
3,2245084
5,2245084
1,1772341
8,1772341
15,1772341
3,1772341
5,1772341
1,338348
8,338348
3,338348
7,338348
17,1628841
1,1628841
5,1628841
1,892769
8,892769
3,892769
7,892769
17,181852
5,181852
17,2015381
1,2015381
5,2015381
1,816692
10,816692
5,816692
17,1375666
1,1375666
5,1375666
9,1375666
1,903624
7,903624
10,421715
7,421715
12,421715
17,1270798
1,1270798
5,1270798
1,1951266
5,1951266
17,963966
1,963966
3,963966
7,963966
17,409182
1,409182
10,409182
9,409182
1,2567026
3,2567026
7,2567026
1,413267
8,413267
15,413267
3,413267
7,413267
17,803096
1,803096
7,803096
17,1340138
1,1340138
5,1340138
1,980970
3,980970
7,980970
17,213149
10,213149
11,213149
12,213149
2,213149
17,418279
1,418279
5,418279
17,346491
1,346491
18,346491
10,346491
11,346491
12,346491
2,346491
1,373889
3,373889
7,373889
20,373889
1,330373
3,330373
7,330373
20,330373
17,448157
10,448157
10,480249
4,480249
5,480249
1,367594
15,367594
3,367594
7,367594
8,382932
15,382932
3,382932
7,382932
17,372784
1,372784
17,479952
1,479952
8,479952
15,479952
3,479952
1,1078912
15,1078912
3,1078912
7,1078912
17,458525
1,458525
7,458525
5,458525
9,458525
17,242653
5,242653
1,2294629
8,2294629
15,2294629
3,2294629
7,2294629
19,2294629
17,234215
5,234215
17,1981115
1,1981115
7,1981115
17,1392190
1,1392190
5,1392190
9,1392190
20,808151
9,808151
17,800369
1,800369
7,800369
1,397892
8,397892
15,397892
10,397892
3,397892
17,436339
1,436339
8,436339
15,436339
3,436339
7,436339
5,436339
17,1646987
1,1646987
7,1646987
15,1077368
7,1077368
4,1077368
17,2381249
1,2381249
9,2381249
10,780653
7,780653
4,780653
9,780653
17,918940
1,918940
10,918940
12,918940
1,389790
8,389790
15,389790
3,389790
17,1302011
1,1302011
8,1302011
15,1302011
3,1302011
17,938283
1,938283
3,938283
7,938283
17,317919
1,317919
9,317919
17,2334879
10,2334879
9,2334879
17,1305591
1,1305591
8,1305591
15,1305591
3,1305591
5,1305591
1,424095
8,424095
15,424095
3,424095
1,864835
8,864835
15,864835
3,864835
5,864835
1,332452
1,1277953
8,1277953
15,1277953
3,1277953
17,246460
1,246460
9,246460
17,120591
1,120591
5,120591
9,120591
17,120912
1,120912
15,120912
3,120912
7,120912
20,120912
5,120912
17,442933
1,442933
8,442933
7,442933
17,2267968
1,2267968
8,2267968
15,2267968
3,2267968
17,1229238
1,1229238
9,1229238
1,1446192
8,1446192
3,1446192
7,1446192
15,369441
6,369441
17,325710
10,325710
11,325710
2,325710
17,796366
1,796366
5,796366
17,145487
1,145487
7,145487
12,145487
17,1646971
1,1646971
8,1646971
15,1646971
3,1646971
7,1646971
17,2404233
1,2404233
7,2404233
17,382992
1,382992
5,382992
9,382992
17,409459
10,409459
20,409459
5,409459
17,122151
6,122151
9,122151
17,286716
5,286716
17,1583421
1,1583421
5,1583421
9,1583421
17,318649
1,318649
15,318649
9,318649
17,173840
1,173840
8,173840
7,173840
12,173840
5,173840
17,458339
1,458339
5,458339
17,143145
1,143145
9,143145
17,311113
1,311113
10,311113
11,311113
2,311113
8,1402488
15,1402488
3,1402488
19,1402488
17,800080
1,800080
5,800080
17,86759
6,86759
10,86759
20,86759
9,86759
1,3691740
3,3691740
7,3691740
1,1663202
10,1663202
9,1663202
23,1663202
1,1860353
8,1860353
15,1860353
3,1860353
26,1860353
1,1192628
8,1192628
15,1192628
3,1192628
23,1192628
1,1911658
8,1911658
15,1911658
3,1911658
17,440963
20,440963
9,440963
17,441773
1,441773
8,441773
15,441773
3,441773
17,478970
1,478970
15,478970
5,478970
1,1951264
5,1951264
9,1951264
1,1673434
10,1673434
7,1673434
12,1673434
1,407304
5,407304
9,407304
17,172156
15,172156
6,172156
9,172156
17,448694
1,448694
8,448694
15,448694
3,448694
7,448694
17,944835
6,944835
20,944835
9,944835
17,1959490
1,1959490
10,1959490
17,983193
1,983193
3,983193
20,983193
1,304141
3,304141
7,304141
20,304141
1,455824
10,455824
12,455824
2,455824
17,1815862
1,1815862
5,1815862
1,130623
8,130623
3,130623
9,130623
17,1680310
7,1680310
1,2692250
15,2692250
3,2692250
7,2692250
17,1001526
8,1001526
15,1001526
3,1001526
5,1001526
1,241527
3,241527
7,241527
17,790736
15,790736
7,790736
17,4262980
1,4262980
10,4262980
4,4262980
5,4262980
17,325980
1,325980
7,325980
7,1571403
1,1951265
5,1951265
9,1951265
20,382625
9,382625
1,2357291
8,2357291
15,2357291
3,2357291
19,2357291
17,290334
1,290334
7,290334
5,290334
9,290334
17,1596343
6,1596343
9,1596343
17,1515091
1,1515091
6,1515091
20,1515091
9,1515091
17,120657
1,120657
11,120657
17,1194173
1,1194173
9,1194173
17,118688
15,170016
3,170016
7,170016
17,319262
1,319262
5,319262
9,319262
17,120755
1,120755
9,120755
17,177971
1,177971
10,177971
9,177971
17,486576
1,486576
5,486576
9,486576
1,454876
10,454876
7,454876
17,259324
7,259324
9,259324
17,4196776
9,4196776
17,305357
1,305357
15,305357
6,305357
1,1446714
20,1446714
5,1446714
1,243585
8,243585
15,243585
3,243585
7,243585
17,1535108
10,1535108
5,1535108
9,1535108
17,296572
1,296572
5,296572
9,296572
17,811080
3,811080
26,811080
15,1341188
10,1341188
12,1341188
17,1013743
15,1013743
12,1013743
17,1483013
1,1483013
20,1483013
5,1483013
17,121766
1,121766
7,121766
5,121766
17,121765
1,121765
7,121765
5,121765
1,198781
8,198781
15,198781
3,198781
7,198781
17,1430132
1,1430132
5,1430132
9,1430132
17,120915
1,120915
7,120915
5,120915
1,481499
8,481499
15,481499
3,481499
7,481499
1,463872
15,463872
3,463872
7,463872
17,245562
10,245562
2,245562
17,2381991
1,2381991
10,2381991
7,2381991
1,1454468
10,1454468
5,1454468
9,1454468
17,118928
1,118928
9,118928
17,3949660
1,3949660
15,3949660
5,3949660
17,477347
1,477347
15,477347
3,477347
7,477347
17,2126355
1,2126355
10,2126355
9,2126355
17,120347
1,120347
9,120347
17,187393
10,187393
11,187393
2,187393
6,349903
9,349903
17,356910
15,356910
6,356910
12,356910
9,356910
1,2908446
5,2908446
9,2908446
18,338751
10,338751
1,1320261
15,1320261
3,1320261
7,1320261
17,990407
15,990407
6,990407
5,990407
9,990407
17,84967
1,84967
6,84967
17,1253863
10,1253863
7,1253863
2,1253863
1,472181
8,472181
15,472181
3,472181
7,472181
8,299172
15,299172
3,299172
16,299172
23,299172
17,3410834
1,3410834
20,3410834
5,3410834
9,3410834
17,433035
10,433035
5,433035
26,433035
1,2017020
8,2017020
15,2017020
3,2017020
7,2017020
17,120179
6,120179
12,120179
9,120179
