actor_id,movie_id
2678,499549
1093,499549
2926,499549
5601,449088
1423,449088
2192,449088
16,2379713
4627,2379713
5982,2379713
2314,1345836
70,1345836
635,1345836
4211,5289954
5191,5289954
768,401729
2318,401729
853,401729
2170,398286
4628,398286
5526,398286
414,2395427
3769,2395427
3494,2395427
2232,417741
943,417741
1930,417741
1929,2975590
2274,2975590
1036,2975590
4515,348150
2673,348150
1839,348150
2483,830515
1073,830515
16,830515
5601,383574
1423,383574
2192,383574
4375,1210819
1423,1210819
2078,1210819
1148,770828
2274,770828
6235,770828
1517,499448
3760,499448
3090,499448
816,1298650
1423,1298650
4645,1298650
4532,1409024
3863,1409024
4615,1409024
499,2310332
4398,2310332
5174,2310332
3682,948470
5079,948470
2038,948470
3104,955308
3938,955308
4772,955308
499,1170358
4398,1170358
5174,1170358
5938,385752
447,385752
1418,385752
6159,120338
4346,120338
2559,120338
3494,3498820
414,3498820
3930,3498820
3034,1440129
1767,1440129
65,1440129
4287,369610
681,369610
2015,369610
5634,316654
2050,316654
2265,316654
1454,1300854
414,1300854
5704,1300854
3891,376994
4619,376994
8,376994
1538,1453405
2163,1453405
2048,1453405
5400,1055369
3677,1055369
1773,1055369
2388,2109248
5926,2109248
3891,2109248
3682,1872181
5079,1872181
2788,1872181
4890,1216475
2732,1216475
4148,1216475
2498,1133985
1637,1133985
588,1133985
2525,435761
4572,435761
180,435761
681,438488
2314,438488
1730,438488
2967,2820852
5616,2820852
2638,2820852
988,816711
229,816711
433,816711
3760,1877832
5798,1877832
4619,1877832
3039,1408101
4992,1408101
2473,1408101
1910,1351685
1955,1351685
4709,1351685
3451,473075
5218,473075
3568,473075
406,1663662
3803,1663662
2674,1663662
1439,1399103
3677,1399103
5400,1399103
3658,367882
6106,367882
1757,367882
2387,1979388
5626,1979388
2924,1979388
2525,1217209
3709,1217209
2601,1217209
2438,2660888
861,2660888
4405,2660888
135,910970
2525,910970
1692,910970
1690,293564
5699,293564
6187,293564
4906,1190080
4308,1190080
5014,1190080
352,1067106
4323,1067106
5502,1067106
5366,1617661
2551,1617661
4332,1617661
792,363771
1757,363771
3553,363771
4591,3385516
5798,3385516
5261,3385516
5751,468569
2314,468569
2429,468569
2092,1049413
2525,1049413
2074,1049413
1106,892782
4165,892782
3885,892782
595,371746
414,371746
1454,371746
447,970179
649,970179
3658,970179
1647,120891
3863,120891
641,120891
5077,859163
3578,859163
4967,859163
1218,1386697
3863,1386697
3700,1386697
2429,413099
4312,413099
4701,413099
1335,1631867
728,1631867
4849,1631867
4995,114898
4680,114898
5864,114898
4608,1046173
635,1046173
4871,1046173
6078,2096673
4165,2096673
585,2096673
3494,1228705
414,1228705
1454,1228705
2353,1735898
3769,1735898
816,1735898
821,1587310
3081,1587310
5330,1587310
4287,2103281
5502,2103281
3416,2103281
1169,1335975
5444,1335975
3023,1335975
3930,1843866
3494,1843866
5789,1843866
4247,892791
2336,892791
1322,892791
5757,1964418
4287,1964418
139,1964418
2862,2245084
5711,2245084
338,2245084
4264,1772341
5754,1772341
1453,1772341
4481,338348
4572,338348
5078,338348
4620,1628841
5015,1628841
875,1628841
6056,892769
3201,892769
5409,892769
5526,181852
1542,181852
5922,181852
2638,2015381
699,2015381
3551,2015381
4059,816692
5394,816692
3721,816692
70,1375666
4346,1375666
635,1375666
499,903624
4398,903624
5174,903624
2340,421715
988,421715
746,421715
4591,1270798
5798,1270798
4308,1270798
10,1951266
5798,1951266
3395,1951266
5942,963966
2906,963966
2634,963966
2927,409182
4312,409182
2177,409182
943,2567026
1423,2567026
4059,2567026
246,413267
4093,413267
4586,413267
974,803096
3160,803096
333,803096
2627,1340138
2050,1340138
2031,1340138
3553,980970
3691,980970
2895,980970
4353,213149
5537,213149
5569,213149
5149,418279
2040,418279
5400,418279
3081,346491
2764,346491
5083,346491
2232,373889
3581,373889
3485,373889
2232,330373
3581,330373
1930,330373
5891,448157
3863,448157
1955,448157
4668,480249
3863,480249
6098,480249
447,367594
1423,367594
2253,367594
2525,382932
4719,382932
685,382932
1767,372784
2314,372784
2429,372784
527,479952
5130,479952
4265,479952
6043,1078912
262,1078912
537,1078912
1637,458525
4619,458525
1787,458525
1061,242653
1894,242653
1960,242653
1497,2294629
3956,2294629
3309,2294629
1850,234215
1183,234215
4907,234215
4112,1981115
3769,1981115
2764,1981115
5891,1392190
70,1392190
5332,1392190
34,808151
4572,808151
4523,808151
4112,800369
3769,800369
2764,800369
5372,397892
649,397892
404,397892
3692,436339
3703,436339
788,436339
5676,1646987
1767,1646987
1068,1646987
649,1077368
1423,1077368
447,1077368
3821,2381249
728,2381249
213,2381249
3818,780653
2764,780653
4235,780653
3034,918940
4627,918940
4877,918940
4085,389790
5527,389790
797,389790
5502,1302011
3081,1302011
329,1302011
1224,938283
3149,938283
4174,938283
728,317919
10,317919
1955,317919
4592,2334879
2551,2334879
1668,2334879
855,1305591
2657,1305591
312,1305591
6159,424095
4619,424095
2420,424095
5422,864835
2465,864835
4567,864835
5601,332452
988,332452
272,332452
3648,1277953
527,1277953
4265,1277953
2558,246460
5383,246460
2357,246460
2163,120591
3329,120591
725,120591
6038,120912
3863,120912
797,120912
2764,442933
4323,442933
2863,442933
3081,2267968
2050,2267968
1216,2267968
3821,1229238
728,1229238
5571,1229238
3883,1446192
4619,1446192
50,1446192
1725,369441
4796,369441
4125,369441
5283,325710
728,325710
3752,325710
370,796366
3769,796366
3039,796366
5634,145487
2050,145487
2265,145487
3551,1646971
3201,1646971
6056,1646971
327,2404233
3201,2404233
4998,2404233
4458,382992
1436,382992
2865,382992
481,409459
5538,409459
4051,409459
3779,122151
3578,122151
403,122151
266,286716
4037,286716
3239,286716
6011,1583421
2551,1583421
327,1583421
1106,318649
5394,318649
2092,318649
2079,173840
2163,173840
6245,173840
3160,458339
3930,458339
5789,458339
5317,143145
2558,143145
1071,143145
2753,311113
3584,311113
5043,311113
988,1402488
262,1402488
1730,1402488
5327,800080
2465,800080
3104,800080
1521,86759
3884,86759
2681,86759
2621,3691740
4231,3691740
3919,3691740
70,1663202
4346,1663202
3772,1663202
5649,1860353
1637,1860353
4410,1860353
3658,1192628
1423,1192628
2506,1192628
5583,1911658
4992,1911658
1239,1911658
5676,440963
3678,440963
1259,440963
1216,441773
3081,441773
855,441773
5789,478970
4287,478970
4449,478970
3395,1951264
5798,1951264
1559,1951264
2353,1673434
3581,1673434
2376,1673434
4419,407304
728,407304
1993,407304
5419,172156
3863,172156
2533,172156
1087,448694
1647,448694
1883,448694
2177,944835
3081,944835
2443,944835
4086,1959490
2764,1959490
3276,1959490
6256,983193
1153,983193
14,983193
5502,304141
2232,304141
1930,304141
4998,455824
1894,455824
1816,455824
5332,1815862
3863,1815862
